iter	Passed	Remaining
0	59	29650
1	62	15624
2	66	10963
3	66	8293
4	69	6924
5	70	5835
6	73	5203
7	76	4713
8	79	4327
9	79	3904
10	82	3649
11	84	3437
12	85	3185
13	86	3001
14	88	2875
15	89	2715
16	92	2618
17	94	2532
18	95	2426
19	96	2312
20	98	2247
21	100	2190
22	102	2119
23	104	2072
24	105	1996
25	107	1959
26	109	1922
27	112	1890
28	112	1830
29	115	1802
30	116	1761
31	118	1735
32	121	1712
33	123	1692
34	124	1651
35	126	1630
36	128	1613
37	130	1585
38	132	1568
39	135	1552
40	137	1537
41	139	1523
42	141	1509
43	144	1496
44	146	1483
45	149	1471
46	151	1459
47	153	1447
48	156	1435
49	158	1425
50	160	1415
51	163	1404
52	165	1395
53	166	1371
54	168	1361
55	170	1353
56	173	1344
57	175	1335
58	177	1328
59	180	1321
60	182	1313
61	184	1306
62	187	1298
63	188	1281
64	188	1262
65	188	1242
66	191	1236
67	191	1218
68	194	1213
69	195	1201
70	197	1190
71	199	1185
72	201	1180
73	203	1169
74	204	1159
75	206	1153
76	209	1148
77	209	1133
78	211	1128
79	214	1123
80	215	1114
81	217	1109
82	220	1105
83	222	1101
84	224	1098
85	226	1089
86	228	1085
87	230	1081
88	233	1077
89	235	1074
90	238	1070
91	239	1059
92	241	1055
93	243	1052
94	244	1044
95	247	1040
96	249	1036
97	251	1033
98	254	1030
99	254	1018
100	257	1015
101	259	1012
102	261	1009
103	264	1005
104	266	1002
105	268	998
106	271	995
107	273	992
108	275	989
109	278	986
110	280	983
111	283	980
112	285	978
113	288	976
114	290	973
115	293	971
116	295	968
117	298	966
118	301	964
119	303	961
120	306	958
121	306	949
122	309	947
123	311	945
124	314	943
125	316	939
126	318	936
127	321	934
128	323	931
129	326	928
130	327	922
131	330	920
132	332	917
133	334	913
134	334	905
135	337	902
136	337	895
137	340	892
138	342	889
139	344	887
140	347	884
141	349	881
142	352	879
143	354	876
144	356	873
145	359	870
146	361	868
147	363	865
148	366	862
149	368	859
150	370	857
151	373	854
152	375	851
153	377	849
154	378	842
155	380	839
156	383	836
157	385	834
158	387	831
159	390	829
160	392	826
161	392	819
162	395	817
163	397	814
164	399	811
165	402	809
166	404	806
167	406	804
168	409	801
169	411	798
170	413	796
171	413	789
172	416	786
173	418	784
174	420	781
175	423	778
176	423	773
177	424	767
178	426	764
179	428	762
180	430	759
181	433	757
182	435	754
183	438	752
184	440	750
185	442	747
186	445	745
187	447	742
188	448	737
189	450	735
190	453	732
191	455	730
192	457	728
193	460	725
194	462	723
195	464	720
196	467	718
197	469	716
198	471	713
199	472	708
200	474	705
201	476	703
202	479	701
203	481	698
204	483	696
205	486	693
206	487	689
207	489	687
208	491	684
209	494	682
210	496	679
211	498	677
212	499	672
213	501	670
214	503	667
215	506	665
216	508	663
217	510	660
218	513	658
219	515	655
220	517	653
221	520	651
222	522	649
223	524	646
224	527	644
225	529	641
226	531	639
227	534	637
228	536	634
229	538	632
230	541	629
231	543	627
232	545	625
233	548	623
234	550	620
235	552	618
236	555	615
237	557	613
238	557	609
239	560	606
240	562	604
241	564	602
242	567	599
243	569	597
244	571	594
245	573	592
246	576	590
247	578	587
248	580	585
249	583	583
250	585	580
251	587	578
252	590	576
253	592	573
254	594	571
255	597	569
256	599	567
257	602	564
258	604	562
259	604	558
260	607	555
261	609	553
262	611	551
263	614	548
264	616	546
265	618	544
266	621	541
267	623	539
268	625	537
269	628	534
270	630	532
271	632	530
272	635	528
273	637	525
274	639	523
275	642	521
276	644	518
277	646	516
278	649	514
279	651	512
280	654	509
281	656	507
282	658	505
283	660	502
284	662	499
285	664	497
286	667	495
287	669	492
288	671	490
289	674	488
290	676	486
291	679	483
292	681	481
293	683	479
294	686	476
295	688	474
296	690	472
297	693	469
298	695	467
299	695	463
300	698	461
301	698	458
302	700	455
303	702	452
304	704	450
305	707	448
306	709	446
307	711	443
308	714	441
309	716	439
310	718	436
311	721	434
312	723	432
313	725	429
314	728	427
315	730	425
316	732	423
317	735	420
318	737	418
319	739	416
320	742	413
321	744	411
322	746	409
323	749	407
324	751	404
325	753	402
326	756	400
327	758	397
328	761	395
329	763	393
330	765	390
331	768	388
332	770	386
333	772	384
334	775	381
335	777	379
336	779	377
337	782	374
338	783	371
339	785	369
340	787	367
341	790	365
342	792	362
343	794	360
344	797	358
345	799	355
346	801	353
347	804	351
348	806	349
349	808	346
350	811	344
351	813	342
352	815	339
353	818	337
354	820	335
355	823	332
356	825	330
357	827	328
358	829	325
359	832	323
360	834	321
361	837	319
362	839	316
363	840	314
364	843	311
365	844	309
366	846	306
367	849	304
368	851	302
369	853	299
370	855	297
371	858	295
372	860	292
373	862	290
374	865	288
375	867	286
376	869	283
377	872	281
378	874	279
379	876	276
380	879	274
381	881	272
382	882	269
383	884	267
384	887	264
385	889	262
386	891	260
387	894	258
388	896	255
389	897	253
390	900	250
391	902	248
392	905	246
393	907	244
394	909	241
395	911	239
396	914	237
397	916	234
398	918	232
399	921	230
400	923	227
401	925	225
402	928	223
403	930	221
404	932	218
405	935	216
406	937	214
407	939	211
408	941	209
409	944	207
410	946	204
411	949	202
412	951	200
413	953	198
414	956	195
415	958	193
416	960	191
417	962	188
418	965	186
419	967	184
420	969	182
421	972	179
422	974	177
423	976	175
424	979	172
425	980	170
426	982	167
427	984	165
428	987	163
429	989	161
430	991	158
431	994	156
432	996	154
433	998	151
434	1001	149
435	1003	147
436	1005	145
437	1008	142
438	1010	140
439	1012	138
440	1015	135
441	1017	133
442	1020	131
443	1022	128
444	1024	126
445	1027	124
446	1029	122
447	1032	119
448	1034	117
449	1036	115
450	1039	112
451	1041	110
452	1043	108
453	1046	106
454	1048	103
455	1050	101
456	1053	99
457	1055	96
458	1057	94
459	1060	92
460	1062	89
461	1064	87
462	1067	85
463	1069	82
464	1071	80
465	1074	78
466	1076	76
467	1078	73
468	1081	71
469	1083	69
470	1085	66
471	1088	64
472	1090	62
473	1092	59
474	1095	57
475	1097	55
476	1099	53
477	1102	50
478	1104	48
479	1107	46
480	1109	43
481	1111	41
482	1113	39
483	1116	36
484	1118	34
485	1120	32
486	1123	29
487	1125	27
488	1127	25
489	1130	23
490	1130	20
491	1133	18
492	1135	16
493	1137	13
494	1140	11
495	1142	9
496	1144	6
497	1147	4
498	1149	2
499	1152	0
